"DR Number","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting District","Crime Code","Crime Code Description","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Weapon Used Code","Weapon Description","Status Code","Crime Code 1","Crime Code 2","Crime Code 3","Crime Code 4","Address","Cross Street","lat","lon"
"172117754","10/03/2017","08/30/2017","1230","21","Topanga","2177","310","BURGLARY","1607 0344","116","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20500    TIARA                        ST","","34.1771","-118.5791"
"172117776","10/04/2017","10/03/2017","1800","21","Topanga","2187","310","BURGLARY","0325 0321 1307","117","","","203","OTHER BUSINESS","","","IC","310","","","","21900    VENTURA                      BL","","34.1685","-118.6038"
"172118088","10/11/2017","10/10/2017","0800","21","Topanga","2177","310","BURGLARY","0344 1606","117","","","203","OTHER BUSINESS","","","IC","310","","","","20900    WARNER CENTER                LN","","34.1747","-118.5886"
"172118102","10/11/2017","10/10/2017","0900","21","Topanga","2162","310","BURGLARY","0344 0352 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23300    CALIFA                       ST","","34.177","-118.6343"
"172118225","10/13/2017","10/13/2017","0700","21","Topanga","2177","310","BURGLARY","0344 0352","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5700    WINNETKA                     AV","","34.174","-118.5888"
"172118242","10/14/2017","10/13/2017","2230","21","Topanga","2175","310","BURGLARY","1601 0344 1606 0321","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","","","","22100    BURBANK                      BL","","34.172","-118.6084"
"172118433","10/18/2017","10/17/2017","2130","21","Topanga","2155","310","BURGLARY","1607 0344 1414","117","","","207","BAR/COCKTAIL/NIGHTCLUB","","","IC","310","","","","6200    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172118566","10/21/2017","10/21/2017","0319","21","Topanga","2175","310","BURGLARY","1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172118613","10/21/2017","10/21/2017","1830","21","Topanga","2177","310","BURGLARY","1609 0321 0344 1202","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20400    CALIFA                       ST","","34.1764","-118.5773"
"172118654","10/21/2017","10/21/2017","0800","21","Topanga","2172","310","BURGLARY","0344","117","","","707","GARAGE/CARPORT","","","IC","310","","","","23300    LADRILLO                     ST","","34.1675","-118.6345"
"172118699","10/23/2017","10/23/2017","1300","21","Topanga","2177","310","BURGLARY","0321 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20800    KELVIN                       PL","","34.1763","-118.5875"
"172118750","10/24/2017","10/13/2017","1400","21","Topanga","2185","310","BURGLARY","0344 0352 1609 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","4900    CALDERON                     RD","","34.1611","-118.6171"
"172118760","10/24/2017","10/24/2017","0900","21","Topanga","2175","310","BURGLARY","1607 0321","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","","","","5800    TOPANGA CANYON               BL","","34.1732","-118.6152"
"172118813","10/25/2017","10/25/2017","0730","21","Topanga","2175","310","BURGLARY","1605 0344 0352","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","","","","5800    TOPANGA CANYON               BL","","34.1732","-118.6152"
"172118850","10/25/2017","10/25/2017","0845","21","Topanga","2161","310","BURGLARY","0344 0352 0321 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5900    FAIRHAVEN                    AV","","34.1773","-118.656"
"172118870","10/26/2017","10/25/2017","2100","21","Topanga","2187","310","BURGLARY","1212 0344","117","","","707","GARAGE/CARPORT","","","IC","310","","","","5100    DON PIO                      DR","","34.1619","-118.6045"
"172118893","10/26/2017","10/26/2017","0930","21","Topanga","2161","310","BURGLARY","0344 0352 1609 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24500    EILAT                        ST","","34.1777","-118.6579"
"172118903","10/26/2017","10/26/2017","1930","21","Topanga","2177","310","BURGLARY","1609 0329","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20500    CALIFA                       ST","","34.1763","-118.5799"
"172118920","10/27/2017","10/26/2017","0410","21","Topanga","2175","310","BURGLARY","0321 1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172118921","10/27/2017","10/27/2017","1147","21","Topanga","2177","310","BURGLARY","0321 0314 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5800    KELVIN                       AV","","34.1761","-118.5845"
"172118966","10/27/2017","10/27/2017","0130","21","Topanga","2175","310","BURGLARY","1609 0344 0375","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22500    VENTURA                      BL","","34.1681","-118.6167"
"172119081","10/30/2017","10/30/2017","0800","21","Topanga","2177","310","BURGLARY","0344 0352 0321 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20500    CALIFA                       ST","","34.1763","-118.5799"
"172119109","10/31/2017","10/31/2017","0400","21","Topanga","2162","310","BURGLARY","1402 0344","117","","","501","SINGLE FAMILY DWELLING","","","AA","310","998","","","23100    HATTERAS                     ST","","34.1758","-118.6299"
"172119193","11/01/2017","11/01/2017","1615","21","Topanga","2185","310","BURGLARY","1609 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5000    LLANO                        DR","","34.1595","-118.6121"
"172119212","11/02/2017","09/15/2017","1200","21","Topanga","2155","310","BURGLARY","0344 0352 1607","117","","","120","STORAGE SHED","","","IC","310","","","","22100    ERWIN                        ST","","34.1829","-118.6077"
"172119213","11/02/2017","11/02/2017","0830","21","Topanga","2161","310","BURGLARY","0344 0352 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24300    HATTERAS                     ST","","34.1752","-118.6548"
"172119340","11/05/2017","11/05/2017","0030","21","Topanga","2162","310","BURGLARY","0344 1607 0321 0314","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23400    AETNA                        ST","","34.1793","-118.6369"
"172119341","11/05/2017","11/04/2017","1800","21","Topanga","2162","310","BURGLARY","0344 0352","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23400    AETNA                        ST","","34.1793","-118.6369"
"172119404","11/06/2017","11/04/2017","0800","21","Topanga","2187","310","BURGLARY","1402 0344","117","","","501","SINGLE FAMILY DWELLING","","","AA","310","998","","","20900    COSTANSO                     ST","","34.1655","-118.5884"
"172119468","11/07/2017","11/07/2017","1252","21","Topanga","2161","310","BURGLARY","0344 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5700    FAIRHAVEN                    AV","","34.1731","-118.658"
"172119529","11/08/2017","09/20/2017","1200","21","Topanga","2162","310","BURGLARY","0344 1275","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5800    FALLBROOK                    AV","","34.1765","-118.634"
"172119602","11/09/2017","11/09/2017","1200","21","Topanga","2161","310","BURGLARY","1602 0344 0321 0906","117","","","501","SINGLE FAMILY DWELLING","","","AA","310","","","","5900    MAURY                        AV","","34.1776","-118.6605"
